,mechanic,year,average_rank,amount
592,Roll and Move,2013,12836.0,30
593,Roll and Move,2014,10326.0,29
594,Roll and Move,2015,13052.0,20
595,Roll and Move,2016,9399.0,23
596,Roll and Move,2017,7806.0,9
597,Roll and Move,2018,8099.0,11
598,Roll and Move,2019,8099.0,0
599,Roll and Move,2020,8099.0,0
600,Set Collection,1981,15260.0,6
601,Set Collection,1982,13141.0,8
602,Set Collection,1983,14342.0,8
603,Set Collection,1984,14990.0,4
604,Set Collection,1985,13506.0,12
605,Set Collection,1986,12312.0,11
606,Set Collection,1987,10997.0,7
607,Set Collection,1988,13852.0,9
608,Set Collection,1989,11980.0,6
609,Set Collection,1990,9754.0,10
610,Set Collection,1991,12341.0,8
611,Set Collection,1992,9788.0,15
612,Set Collection,1993,12249.0,10
613,Set Collection,1994,12911.0,9
614,Set Collection,1995,10875.0,15
615,Set Collection,1996,9986.0,17
616,Set Collection,1997,11671.0,25
617,Set Collection,1998,8855.0,27
618,Set Collection,1999,8255.0,30
619,Set Collection,2000,10697.0,44
620,Set Collection,2001,10710.0,46
621,Set Collection,2002,10160.0,37
622,Set Collection,2003,8980.0,46
623,Set Collection,2004,8980.0,49
624,Set Collection,2005,9890.0,61
625,Set Collection,2006,8626.0,51
626,Set Collection,2007,8075.0,71
627,Set Collection,2008,7732.0,76
628,Set Collection,2009,8190.0,85
629,Set Collection,2010,7639.0,90
630,Set Collection,2011,7267.0,94
631,Set Collection,2012,7222.0,97
632,Set Collection,2013,6471.0,103
633,Set Collection,2014,6813.0,129
634,Set Collection,2015,6317.0,178
635,Set Collection,2016,6296.0,185
636,Set Collection,2017,6409.0,213
637,Set Collection,2018,6244.0,176
638,Set Collection,2019,5214.0,24
639,Set Collection,2020,5214.0,0
640,Simulation,1981,6566.0,12
641,Simulation,1982,10519.0,9
642,Simulation,1983,6633.0,12
643,Simulation,1984,8103.0,12
644,Simulation,1985,5776.0,14
645,Simulation,1986,7436.0,14
646,Simulation,1987,10123.0,10
647,Simulation,1988,10424.0,6
648,Simulation,1989,8312.0,4
649,Simulation,1990,7353.0,10
650,Simulation,1991,6926.0,13
651,Simulation,1992,8072.0,12
652,Simulation,1993,8780.0,19
653,Simulation,1994,7800.0,12
654,Simulation,1995,7754.0,22
655,Simulation,1996,8200.0,11
656,Simulation,1997,8509.0,14
657,Simulation,1998,8673.0,10
658,Simulation,1999,7369.0,14
659,Simulation,2000,9129.0,10
660,Simulation,2001,9559.0,12
661,Simulation,2002,7996.0,15
662,Simulation,2003,7626.0,20
663,Simulation,2004,7184.0,35
664,Simulation,2005,6568.0,35
665,Simulation,2006,7537.0,25
666,Simulation,2007,6386.0,29
667,Simulation,2008,6842.0,32
668,Simulation,2009,4846.0,34
669,Simulation,2010,7982.0,49
670,Simulation,2011,5625.0,26
671,Simulation,2012,5649.0,38
672,Simulation,2013,6907.0,31
673,Simulation,2014,6740.0,33
674,Simulation,2015,6201.0,35
675,Simulation,2016,5869.0,38
676,Simulation,2017,5552.0,36
677,Simulation,2018,6297.0,22
678,Simulation,2019,6170.0,4
679,Simulation,2020,6170.0,0
680,Simultaneous Action Selection,1981,6543.0,5
681,Simultaneous Action Selection,1982,8279.0,6
682,Simultaneous Action Selection,1983,3240.0,4
683,Simultaneous Action Selection,1984,13722.0,2
684,Simultaneous Action Selection,1985,8017.0,6
685,Simultaneous Action Selection,1986,5450.0,5
686,Simultaneous Action Selection,1987,10093.0,5
687,Simultaneous Action Selection,1988,8544.0,6
688,Simultaneous Action Selection,1989,6641.0,8
689,Simultaneous Action Selection,1990,8672.0,8
690,Simultaneous Action Selection,1991,9832.0,11
691,Simultaneous Action Selection,1992,6155.0,6
692,Simultaneous Action Selection,1993,8254.0,10
693,Simultaneous Action Selection,1994,3332.0,5
694,Simultaneous Action Selection,1995,10447.0,6
695,Simultaneous Action Selection,1996,10123.0,10
696,Simultaneous Action Selection,1997,7532.0,11
697,Simultaneous Action Selection,1998,11314.0,14
698,Simultaneous Action Selection,1999,9238.0,18
699,Simultaneous Action Selection,2000,7895.0,11
700,Simultaneous Action Selection,2001,7815.0,9
701,Simultaneous Action Selection,2002,5382.0,11
702,Simultaneous Action Selection,2003,9830.0,18
703,Simultaneous Action Selection,2004,8058.0,28
704,Simultaneous Action Selection,2005,6091.0,33
705,Simultaneous Action Selection,2006,6336.0,14
706,Simultaneous Action Selection,2007,5798.0,27
707,Simultaneous Action Selection,2008,5719.0,22
708,Simultaneous Action Selection,2009,6383.0,37
709,Simultaneous Action Selection,2010,5853.0,35
710,Simultaneous Action Selection,2011,7533.0,44
711,Simultaneous Action Selection,2012,5378.0,44
712,Simultaneous Action Selection,2013,6690.0,60
713,Simultaneous Action Selection,2014,6834.0,59
714,Simultaneous Action Selection,2015,6255.0,67
715,Simultaneous Action Selection,2016,6651.0,76
716,Simultaneous Action Selection,2017,7106.0,68
717,Simultaneous Action Selection,2018,6519.0,57
718,Simultaneous Action Selection,2019,5707.0,7
719,Simultaneous Action Selection,2020,5707.0,0
720,Take That,1981,5232.0,1
721,Take That,1982,5703.0,3
722,Take That,1983,6507.0,3
723,Take That,1984,12806.0,2
724,Take That,1985,15116.0,2
725,Take That,1986,15116.0,0
726,Take That,1987,16629.0,1
727,Take That,1988,10136.0,2
728,Take That,1989,4147.0,1
729,Take That,1990,3995.0,1
